id,Municipio,Taxa
4202131,BELA VISTA DO TOLDO,0.0
2700805,BELEM,0.002
2601607,BELEM DE SAO FRANCISCO,0.017
3300456,BELFORD ROXO,0.018
4202156,BELMONTE,0.0
3106200,BELO HORIZONTE,0.066
2601706,BELO JARDIM,0.028
3106309,BELO ORIENTE,0.023
1501451,BELTERRA,0.017
1501501,BENEVIDES,0.028
4302105,BENTO GONCALVES,0.098
2201705,BERTOLINIA,0.007
3106705,BETIM,0.637
2601904,BEZERROS,0.043
3106903,BICAS,0.011
4202305,BIGUACU,0.283
4202404,BLUMENAU,0.253
2903706,BOA NOVA,0.009
2302404,BOA VIAGEM,0.023
2502151,BOA VISTA,0.066
4302154,BOA VISTA DAS MISSOES,0.01
2101970,BOA VISTA DO GURUPI,0.005
2903805,BOA VISTA DO TUPIM,0.009
1300706,BOCA DO ACRE,0.0
4202438,BOCAINA DO SUL,0.008
4103107,BOCAIUVA DO SUL,0.026
2602001,BODOCO,0.001
3107406,BOM DESPACHO,0.043
3300506,BOM JARDIM,0.005
5203401,BOM JARDIM DE GOIAS,0.005
3107505,BOM JARDIM DE MINAS,0.01
4302303,BOM JESUS,0.043
2102036,BOM JESUS DAS SELVAS,0.006
5203500,BOM JESUS DE GOIAS,0.012
3107703,BOM JESUS DO AMPARO,0.027
5101852,BOM JESUS DO ARAGUAIA,0.002
4103156,BOM JESUS DO SUL,0.004
1703305,BOM JESUS DO TOCANTINS,0.006
2201919,BOM PRINCIPIO DO PIAUI,0.0
4302378,BOM PROGRESSO,0.002
4202602,BOM RETIRO,0.019
4302402,BOM RETIRO DO SUL,0.001
4103206,BOM SUCESSO,0.003
3108107,BONFIM,0.015
1300805,BORBA,0.0
4302501,BOSSOROCA,0.002
3108404,BOTELHOS,0.012
4302584,BOZANO,0.008
1501709,BRAGANCA,0.008
3507605,BRAGANCA PAULISTA,0.039
2701100,BRANQUINHA,0.009
1501725,BRASIL NOVO,0.006
5002308,BRASILANDIA,0.002
1703602,BRASILANDIA DO TOCANTINS,0.002
1200104,BRASILEIA,0.005
2201960,BRASILEIRA,0.002
5300108,BRASILIA,1.0
2602407,BREJAO,0.005
3201159,BREJETUBA,0.005
1501758,BREJO GRANDE DO ARAGUAIA,0.0
2302503,BREJO SANTO,0.024
2904308,BREJOES,0.015
3109006,BRUMADINHO,0.062
2904605,BRUMADO,0.024
4202875,BRUNOPOLIS,0.02
2904704,BUERAREMA,0.01
1200138,BUJARI,0.005
2202000,BURITI DOS LOPES,0.02
2102325,BURITICUPU,0.009
3109402,BURITIZEIRO,0.017
4302709,BUTIA,0.017
2503001,CAAPORA,0.025
5002407,CAARAPO,0.038
2503209,CABEDELO,0.113
2602902,CABO DE SANTO AGOSTINHO,0.04
3109501,CABO VERDE,0.006
2603009,CABROBO,0.013
3508504,CACAPAVA,0.082
4302808,CACAPAVA DO SUL,0.047
1100601,CACAULANDIA,0.003
5102504,CACERES,0.073
2904902,CACHOEIRA,0.005
5204102,CACHOEIRA ALTA,0.023
3102704,CACHOEIRA DE PAJEU,0.016
1501956,CACHOEIRA DO PIRIA,0.008
4303004,CACHOEIRA DO SUL,0.058
2503308,CACHOEIRA DOS INDIOS,0.008
3508603,CACHOEIRA PAULISTA,0.036
4303103,CACHOEIRINHA,0.019
3201209,CACHOEIRO DE ITAPEMIRIM,0.026
2701209,CACIMBINHAS,0.005
1100049,CACOAL,0.115
2905107,CAEM,0.001
3109907,CAETANOPOLIS,0.036
3110004,CAETE,0.039
2603207,CAETES,0.014
2905206,CAETITE,0.014
5204409,CAIAPONIA,0.012
4303301,CAIBATE,0.002
4203105,CAIBI,0.006
2401909,CAICARA DO RIO DO VENTO,0.004
2402006,CAICO,0.008
3509254,CAJATI,0.195
2503704,CAJAZEIRAS,0.03
2603306,CALCADO,0.001
1600204,CALCOENE,0.001
3110301,CALDAS,0.022
2503803,CALDAS BRANDAO,0.008
2905503,CALDEIRAO GRANDE,0.003
4103503,CALIFORNIA,0.011
2603405,CALUMBI,0.002
2905602,CAMACAN,0.011
2905800,CAMAMU,0.0
3110509,CAMANDUCAIA,0.06
5002605,CAMAPUA,0.007
4303509,CAMAQUA,0.031
4103602,CAMBARA,0.025
4103701,CAMBE,0.067
4103800,CAMBIRA,0.011
4203204,CAMBORIU,0.003
3110608,CAMBUI,0.079
3110806,CAMPANARIO,0.01
3110905,CAMPANHA,0.037
4303673,CAMPESTRE DA SERRA,0.008
2102556,CAMPESTRE DO MARANHAO,0.005
2504009,CAMPINA GRANDE,0.188
4104006,CAMPINA GRANDE DO SUL,0.216
5204706,CAMPINORTE,0.027
4203303,CAMPO ALEGRE,0.005
5204805,CAMPO ALEGRE DE GOIAS,0.044
4104055,CAMPO BONITO,0.001
4104105,CAMPO DO TENENTE,0.015
3111408,CAMPO FLORIDO,0.019
5002704,CAMPO GRANDE,0.317
2202133,CAMPO GRANDE DO PIAUI,0.004
4104204,CAMPO LARGO,0.122
2202208,CAMPO MAIOR,0.047
4104303,CAMPO MOURAO,0.038
4304002,CAMPO NOVO,0.009
2402105,CAMPO REDONDO,0.003
5102678,CAMPO VERDE,0.027
3111507,CAMPOS ALTOS,0.039
5102686,CAMPOS DE JULIO,0.012
3301009,CAMPOS DOS GOYTACAZES,0.32
