Municipio,Taxa
PAU DOS FERROS,18
PAUDALHO,34
PAULA FREITAS,20
PAULICEIA,4
PAULISTA,71
PAULISTANA,7
PAULO AFONSO,19
PAULO FRONTIN,11
PAULO LOPES,77
PAVERAMA,3
PEDRA,11
PEDRA AZUL,1
PEDRA BRANCA,2
PEDRA BRANCA DO AMAPARI,1
PEDRA PRETA,48
PEDRAS DE FOGO,3
PEDRO ALEXANDRE,2
PEDRO CANARIO,25
PEDRO DE TOLEDO,1
PEDRO GOMES,2
PEDRO LEOPOLDO,1
PEDRO OSORIO,4
PEIXE,13
PEIXE-BOI,1
PEIXOTO DE AZEVEDO,25
PEJUCARA,6
PELOTAS,139
PENAFORTE,8
PENHA,61
PERDIZES,8
PERDOES,41
PEREIRO,2
PERIQUITO,17
PERITORO,20
PEROLA DOESTE,11
PESCARIA BRAVA,40
PESQUEIRA,23
PETROLANDIA,11
PETROLINA,214
PETROPOLIS,251
PIANCO,6
PICADA CAFE,20
PICOS,110
PILAR,42
PIMENTA BUENO,77
PINDAMONHANGABA,98
PINDARE-MIRIM,4
PINHALZINHO,25
PINHEIRAL,10
PINHEIRO MACHADO,8
PINHEIROS,1
PIO IX,5
PIO XII,1
PIQUETE,9
PIRACANJUBA,21
PIRACURUCA,6
PIRAI,113
PIRANHAS,7
PIRAPORA,12
PIRAQUARA,42
PIRAQUE,1
PIRATINI,16
PIRENOPOLIS,12
PIRIPIRI,46
PLACAS,1
PLACIDO DE CASTRO,5
PLANALTO,36
PLANURA,9
POCINHOS,14
POCO BRANCO,4
POCO DAS TRINCHEIRAS,4
POCOES,25
POCONE,17
POCOS DE CALDAS,28
POMBAL,29
POMBOS,40
PONTA GROSSA,247
PONTA PORA,49
PONTAL DO ARAGUAIA,4
PONTE ALTA,42
PONTE ALTA DO NORTE,11
PONTE SERRADA,39
PONTES E LACERDA,73
PONTO DOS VOLANTES,16
PONTO NOVO,4
PORANGATU,36
PORTEIRAO,3
PORTELANDIA,6
PORTO ACRE,2
PORTO ALEGRE,228
PORTO ALEGRE DO NORTE,4
PORTO AMAZONAS,14
PORTO BELO,99
PORTO ESPERIDIAO,9
PORTO FRANCO,20
PORTO GRANDE,23
PORTO MURTINHO,5
PORTO NACIONAL,1
PORTO REAL,24
PORTO REAL DO COLEGIO,22
PORTO SEGURO,74
PORTO UNIAO,19
PORTO VELHO,370
PORTO VITORIA,25
PORTO XAVIER,9
POSSE,25
POUSO ALEGRE,109
POUSO ALTO,34
POUSO NOVO,30
POUSO REDONDO,82
POXOREO,15
PRADO,6
PRANCHITA,11
PRATA,72
PRESIDENTE CASTELO BRANCO,4
PRESIDENTE DUTRA,6
PRESIDENTE FIGUEIREDO,20
PRESIDENTE KENNEDY,7
PRESIDENTE MEDICI,54
PRESIDENTE OLEGARIO,1
PRESIDENTE TANCREDO NEVES,17
PRESIDENTE VARGAS,1
PRIMAVERA DO LESTE,67
PRIMEIRA CRUZ,1
PROFESSOR JAMIL,31
PROMISSAO,23
PROPRIA,7
PRUDENTOPOLIS,60
PUGMIL,12
QUARAI,1
QUATRO BARRAS,28
QUATRO PONTES,14
QUEIMADAS,47
QUEIMADOS,88
QUELUZ,23
QUIJINGUE,4
QUIPAPA,5
QUISSAMA,3
QUITANDINHA,25
QUIXABA,1
QUIXABEIRA,1
RAFAEL FERNANDES,13
RAFAEL JAMBEIRO,16
RANCHO QUEIMADO,55
REALEZA,6
REBOUCAS,14
RECIFE,609
REDENCAO,2
REDENCAO DO GURGUEIA,4
REDUTO,20
REGENERACAO,3
REGISTRO,114
REMIGIO,8
RESENDE,92
RESSAQUINHA,12
RIACHAO,12
RIACHAO DAS NEVES,22
RIACHAO DO BACAMARTE,16
RIACHAO DO JACUIPE,17
RIACHAO DO POCO,4
RIACHUELO,3
RIALMA,41
RIANAPOLIS,12
RIBAMAR FIQUENE,8
RIBAS DO RIO PARDO,64
RIBEIRA DO AMPARO,4
RIBEIRA DO POMBAL,41
RIBEIRAO,27
RIBEIRAO CASCALHEIRA,12
RIBEIRAO DAS NEVES,247
RIBEIRAO DO SUL,5
RIBEIRAO VERMELHO,9
RIO AZUL,21
RIO BONITO,76
RIO BRANCO,149
RIO BRANCO DO SUL,1
RIO BRILHANTE,33
RIO CASCA,29
RIO CRESPO,2
RIO DAS FLORES,1
RIO DAS OSTRAS,3
RIO DE JANEIRO,303
RIO DO ANTONIO,6
RIO DO FOGO,5
RIO DO SUL,100
RIO DOS BOIS,10
RIO GRANDE,134
RIO LARGO,52
RIO MANSO,5
RIO NEGRINHO,96
RIO NEGRO,59
RIO NOVO DO SUL,51
RIO PARDO,51
RIO PIRACICABA,2
RIO REAL,11
RIO TINTO,8
RIO VERDE,137
RIO VERDE DE MATO GROSSO,43
RODEIO,26
ROLANDIA,62
ROMARIA,9
RONDON DO PARA,4
RONDONOPOLIS,164
ROQUE GONZALES,3
RORAINOPOLIS,9
ROSARIO,6
ROSARIO DO CATETE,10
ROSARIO DO SUL,37
ROSARIO OESTE,34
ROSEIRA,30
RUBELITA,5
RUROPOLIS,7
RUSSAS,33
RUY BARBOSA,4
SABARA,121
SACRAMENTO,8
SAGRADA FAMILIA,1
SAIRE,8
SALDANHA MARINHO,10
SALETE,1
SALGUEIRO,51
SALINAS,47
SALOA,5
SALTO GRANDE,8
SALVADOR,230
SALVADOR DAS MISSOES,2
SALVADOR DO SUL,11
SAMBAIBA,2
SANGAO,57
SANHARO,13
SANTA BARBARA,24
SANTA BARBARA DO LESTE,33
SANTA BARBARA DO SUL,6
SANTA BRIGIDA,5
SANTA CECILIA,50
SANTA CRUZ,10
SANTA CRUZ DE SALINAS,7
SANTA CRUZ DO SUL,18
SANTA FE DE GOIAS,2
SANTA FILOMENA,2
SANTA HELENA DE GOIAS,8
SANTA INES,31
SANTA ISABEL,54
SANTA IZABEL DO PARA,46
SANTA LUCIA,16
SANTA LUZ,5
SANTA LUZIA,56
SANTA LUZIA DO ITANHY,12
SANTA LUZIA DO NORTE,1
SANTA LUZIA DO PARA,4
SANTA LUZIA DO PARUA,7
SANTA MARGARIDA DO SUL,8
SANTA MARIA,227
SANTA MARIA DA BOA VISTA,20
SANTA MARIA DO PARA,41
SANTA MARIANA,17
SANTA RITA,133
SANTA RITA DE CALDAS,3
SANTA RITA DE CASSIA,1
SANTA RITA DE MINAS,44
SANTA RITA DO ARAGUAIA,4
SANTA RITA DO NOVO DESTINO,1
SANTA RITA DO TOCANTINS,7
SANTA ROSA,12
SANTA ROSA DO SUL,28
SANTA TERESINHA,21
SANTA TEREZA DE GOIAS,7
SANTA TEREZA DO OESTE,31
SANTA TEREZINHA DE ITAIPU,39
SANTA VITORIA,37
SANTA VITORIA DO PALMAR,25
SANTANA,1
SANTANA DA BOA VISTA,17
SANTANA DO ARAGUAIA,3
SANTANA DO IPANEMA,23
SANTANA DO LIVRAMENTO,47
SANTANA DO PARAISO,25
SANTAREM,41
SANTIAGO,27
SANTO AMARO,3
SANTO AMARO DA IMPERATRIZ,49
SANTO ANGELO,2
SANTO ANTONIO DA BARRA,18
SANTO ANTONIO DA PATRULHA,58
SANTO ANTONIO DA PLATINA,42
SANTO ANTONIO DAS MISSOES,13
SANTO ANTONIO DE JESUS,39
SANTO ANTONIO DE LISBOA,2
SANTO ANTONIO DO AMPARO,69
SANTO ANTONIO DO DESCOBERTO,19
SANTO ANTONIO DO GRAMA,2
SANTO ANTONIO DO LEVERGER,93
SANTO ANTONIO DO PLANALTO,5
SANTO ANTONIO DO SUDOESTE,21
SANTO ANTONIO DOS LOPES,1
SANTO AUGUSTO,2
SANTO CRISTO,6
SANTO ESTEVAO,31
SANTOS DUMONT,52
SAO BENTINHO,6
SAO BENTO DO SUL,30
SAO BENTO DO TOCANTINS,4
SAO BORJA,28
SAO BRAS,4
SAO CAITANO,42
SAO CRISTOVAO,41
SAO CRISTOVAO DO SUL,31
SAO DESIDERIO,27
SAO DOMINGOS DO ARAGUAIA,5
SAO DOMINGOS DO AZEITAO,2
SAO DOMINGOS DO MARANHAO,1
SAO DOMINGOS DO PRATA,29
SAO FELIX DE BALSAS,1
SAO FELIX DO CORIBE,2
SAO FELIX DO XINGU,1
SAO FERNANDO,1
SAO FRANCISCO,5
SAO FRANCISCO DE GOIAS,11
SAO FRANCISCO DO BREJAO,1
SAO FRANCISCO DO GLORIA,10
SAO FRANCISCO DO GUAPORE,2
SAO FRANCISCO DO OESTE,1
SAO FRANCISCO DO PARA,20
SAO FRANCISCO DO SUL,67
SAO GABRIEL,20
SAO GABRIEL DO OESTE,39
SAO GERALDO DO ARAGUAIA,3
SAO GONCALO,233
SAO GONCALO DO ABAETE,30
SAO GONCALO DO AMARANTE,105
SAO GONCALO DO GURGUEIA,7
SAO GONCALO DO PARA,13
SAO GONCALO DO RIO ABAIXO,75
SAO GONCALO DO SAPUCAI,48
SAO GONCALO DOS CAMPOS,13
SAO JERONIMO,5
SAO JOAO,5
SAO JOAO DA BARRA,31
SAO JOAO DA FRONTEIRA,4
SAO JOAO DE MERITI,178
SAO JOAO DO ARAGUAIA,9
SAO JOAO DO CARIRI,5
SAO JOAO DO MANHUACU,35
SAO JOAO DO RIO DO PEIXE,9
SAO JOAO DO SUL,20
SAO JOAO DOS PATOS,3
SAO JOAQUIM DE BICAS,45
SAO JOSE,693
SAO JOSE DA LAJE,15
SAO JOSE DA VITORIA,11
SAO JOSE DAS MISSOES,5
SAO JOSE DE ESPINHARAS,3
SAO JOSE DE MIPIBU,58
SAO JOSE DO BELMONTE,4
SAO JOSE DO CEDRO,18
SAO JOSE DO CERRITO,36
SAO JOSE DO GOIABAL,1
SAO JOSE DO HERVAL,22
SAO JOSE DO INHACORA,2
SAO JOSE DO JACUIPE,4
SAO JOSE DO RIO PRETO,180
SAO JOSE DO SUL,10
SAO JOSE DO VALE DO RIO PRETO,2
SAO JOSE DOS AUSENTES,4
SAO JOSE DOS CAMPOS,380
SAO JOSE DOS PINHAIS,483
SAO JULIAO,1
SAO LEOPOLDO,232
SAO LOURENCO DA MATA,41
SAO LOURENCO DA SERRA,58
SAO LOURENCO DO SUL,12
SAO LUIS,185
SAO LUIS DO CURU,7
SAO LUIZ DO NORTE,7
SAO LUIZ GONZAGA,31
SAO MAMEDE,10
SAO MARCOS,22
SAO MARTINHO,1
SAO MATEUS,118
SAO MATEUS DO MARANHAO,18
SAO MATEUS DO SUL,44
SAO MIGUEL DAS MATAS,1
SAO MIGUEL DAS MISSOES,1
SAO MIGUEL DE TAIPU,6
SAO MIGUEL DO ARAGUAIA,5
SAO MIGUEL DO GUAMA,10
SAO MIGUEL DO GUAPORE,8
SAO MIGUEL DO IGUACU,55
SAO MIGUEL DO OESTE,96
SAO MIGUEL DOS CAMPOS,35
SAO PAULO,379
SAO PEDRO,2
SAO PEDRO DA CIPA,6
SAO PEDRO DA SERRA,3
SAO PEDRO DAS MISSOES,1
SAO PEDRO DO BUTIA,6
SAO PEDRO DO PIAUI,5
SAO PEDRO DO SUL,20
SAO PEDRO DO TURVO,4
SAO RAIMUNDO DAS MANGABEIRAS,10
SAO SEBASTIAO,16
SAO SEBASTIAO DA BELA VISTA,38
SAO SEBASTIAO DE LAGOA DE  ROCA,10
SAO SEBASTIAO DO PASSE,78
SAO SEPE,30
SAO SIMAO,19
SAO VICENTE DO SUL,15
SAPEACU,9
SAPEZAL,2
SAPUCAIA,89
SAPUCAIA DO SUL,65
SARANDI,53
SATUBA,37
SAUDADES,11
SEABRA,30
SEBASTIAO LEAL,1
SEBERI,30
SELVIRIA,4
SENA MADUREIRA,11
SENADOR ALEXANDRE COSTA,1
SENADOR ELOI DE SOUZA,4
SENADOR GUIOMARD,16
SENADOR JOSE BENTO,16
SENHOR DO BONFIM,22
SENTINELA DO SUL,9
SERINGUEIRAS,4
SERITINGA,3
SEROPEDICA,234
SERRA,526
SERRA BRANCA,5
SERRA CAIADA,9
SERRA DO RAMALHO,1
SERRA NEGRA DO NORTE,1
SERRA TALHADA,97
SERRINHA,21
SERRINHA DOS PINTOS,1
SERTANIA,14
SETE DE SETEMBRO,4
SETE LAGOAS,90
SEVERIANO DE ALMEIDA,10
SIDROLANDIA,49
SILVA JARDIM,42
SILVEIRAS,7
SIMAO PEREIRA,27
SIMOES FILHO,69
SIMOLANDIA,12
SINOP,249
SITIO NOVO,7
SOBRADO,17
SOBRAL,36
SOLEDADE,52
SOMBRIO,43
SONORA,20
SOORETAMA,46
SORRISO,121
SOUSA,26
SUCUPIRA DO RIACHAO,4
SUME,9
TABAI,9
TABOAO DA SERRA,179
TABOLEIRO GRANDE,4
TABULEIRO DO NORTE,4
TACAIMBO,11
TACARATU,1
TAIOBEIRAS,1
TAIPU,6
TALISMA,14
TANGARA,11
TANGUA,51
TANHACU,3
TANQUE DARCA,3
TANQUINHO,10
TAPAUA,1
TAPES,20
TAQUARI,3
TAQUARITINGA DO NORTE,17
TARTARUGALZINHO,8
TARUMIRIM,13
TAUA,20
TAUBATE,181
TEIXEIRA DE FREITAS,66
TEIXEIRA SOARES,12
TELEMACO BORBA,1
TENORIO,2
TEODORO SAMPAIO,10
TEOFILANDIA,8
TEOFILO OTONI,103
TEOLANDIA,9
TEOTONIO VILELA,17
TERENOS,37
TERESINA,399
TERESOPOLIS,141
TEREZOPOLIS DE GOIAS,24
TERRA DE AREIA,17
TERRA NOVA,6
TERRA NOVA DO NORTE,26
TERRA ROXA,8
TIANGUA,60
TIBAGI,107
TIJUCAS,42
TIJUCAS DO SUL,74
TIMBAUBA,8
TIMBAUBA DOS BATISTAS,2
TIMBE DO SUL,3
TIMON,49
TIMOTEO,14
TIO HUGO,22
TIRADENTES DO SUL,4
TOLEDO,47
TORITAMA,16
TORRES,29
TOUROS,2
TRACUATEUA,10
TRACUNHAEM,7
TRAIRAO,55
TRAMANDAI,1
TRES ARROIOS,6
TRES BARRAS,20
TRES CACHOEIRAS,37
TRES CORACOES,46
TRES DE MAIO,13
TRES LAGOAS,95
TRES MARIAS,48
TRES PASSOS,16
TRES RIOS,80
TREZE DE MAIO,1
TRINDADE,10
TRIUNFO,42
TRIUNFO POTIGUAR,2
TROMBUDO CENTRAL,28
TUBARAO,155
TUCANO,33
TUCURUI,1
TUNAS DO PARANA,6
TUNEIRAS DO OESTE,6
TUNTUM,8
TUPANCIRETA,1
TUPIRAMA,5
TURUCU,10
TURURU,1
UAUA,3
UBAIRA,3
UBAITABA,10
UBAPORANGA,31
UBARANA,12
UBATA,6
UBATUBA,216
UBERABA,398
UBERLANDIA,334
UBIRATA,36
UIRAUNA,11
ULIANOPOLIS,13
UMARI,1
UMBAUBA,13
UMIRIM,6
UNIAO DA VITORIA,18
UNIAO DOS PALMARES,26
UNISTALDA,4
UPANEMA,7
URAI,17
URUACU,51
URUARA,2
URUCUCA,12
URUGUAIANA,93
VACARIA,103
VALE DE SAO DOMINGOS,4
VALENCA,7
VALENCA DO PIAUI,16
VALPARAISO DE GOIAS,213
VARGEAO,8
VARGEM,43
VARGEM BONITA,28
VARGEM GRANDE,3
VARJAO,4
VARJAO DE MINAS,13
VARZEA ALEGRE,11
VARZEA DA PALMA,11
VARZEA GRANDE,122
VASSOURAS,62
VENDA NOVA DO IMIGRANTE,39
VENTANIA,14
VENTUROSA,6
VERA,23
VERA CRUZ,1
VERANOPOLIS,49
VERDEJANTE,9
VEREDA,6
VERISSIMO,1
VIANA,143
VICENTINA,16
VICOSA,1
VICTOR GRAEFF,4
VILA BELA DA SANTISSIMA TRINDADE,4
VILA BOA,8
VILA FLORES,9
VILA NOVA DO PIAUI,2
VILA NOVA DO SUL,6
VILA PROPICIO,21
VILA RICA,8
VILA VELHA,16
VILHENA,188
VIRMOND,17
VISEU,3
VITORIA,5
VITORIA DA CONQUISTA,279
VITORIA DAS MISSOES,3
VITORIA DE SANTO ANTAO,26
VITORIA DO MEARIM,12
VITORIA DO XINGU,6
VOLTA REDONDA,82
WANDERLANDIA,23
WANDERLEY,3
WENCESLAU GUIMARAES,20
XAMBIOA,4
XANXERE,57
XAPURI,5
XAXIM,45
XEXEU,16
XINGUARA,2
ZE DOCA,8
