Estado,Acidentes,Ano
Acre,224,2022
Alagoas,595,2022
Amazonas,114,2022
Amapá,180,2022
Bahia,3449,2022
Ceará,1373,2022
Distrito Federal,921,2022
Espírito Santo,2280,2022
Goiás,3112,2022
Maranhão,1084,2022
Minas Gerais,8295,2022
Mato Grosso do Sul,1639,2022
Mato Grosso,2178,2022
Pará,834,2022
Paraíba,1476,2022
Pernambuco,2749,2022
Piauí,1115,2022
Paraná,7393,2022
Rio de Janeiro,4708,2022
Rio Grande do Norte,1288,2022
Rondônia,1379,2022
Roraima,229,2022
Rio Grande do Sul,4931,2022
Santa Catarina,7593,2022
Sergipe,511,2022
São Paulo,4385,2022
Tocantins,568,2022
