id,Municipio,Taxa
2903805,BOA VISTA DO TUPIM,10
1300706,BOCA DO ACRE,1
4202438,BOCAINA DO SUL,9
4103107,BOCAIUVA DO SUL,26
2602001,BODOCO,2
3107406,BOM DESPACHO,43
3300506,BOM JARDIM,6
5203401,BOM JARDIM DE GOIAS,6
3107505,BOM JARDIM DE MINAS,11
4302303,BOM JESUS,43
2102036,BOM JESUS DAS SELVAS,7
5203500,BOM JESUS DE GOIAS,13
3107703,BOM JESUS DO AMPARO,27
5101852,BOM JESUS DO ARAGUAIA,3
4103156,BOM JESUS DO SUL,5
1703305,BOM JESUS DO TOCANTINS,7
2201919,BOM PRINCIPIO DO PIAUI,1
4302378,BOM PROGRESSO,3
4202602,BOM RETIRO,20
4302402,BOM RETIRO DO SUL,2
4103206,BOM SUCESSO,4
3108107,BONFIM,16
1300805,BORBA,1
4302501,BOSSOROCA,3
3108404,BOTELHOS,13
4302584,BOZANO,9
1501709,BRAGANCA,9
3507605,BRAGANCA PAULISTA,39
2701100,BRANQUINHA,10
1501725,BRASIL NOVO,7
5002308,BRASILANDIA,3
1703602,BRASILANDIA DO TOCANTINS,3
1200104,BRASILEIA,6
2201960,BRASILEIRA,3
5300108,BRASILIA,977
2602407,BREJAO,6
3201159,BREJETUBA,6
1501758,BREJO GRANDE DO ARAGUAIA,1
2302503,BREJO SANTO,24
2904308,BREJOES,16
3109006,BRUMADINHO,62
2904605,BRUMADO,24
4202875,BRUNOPOLIS,21
2904704,BUERAREMA,11
1200138,BUJARI,6
2202000,BURITI DOS LOPES,21
2102325,BURITICUPU,10
3109402,BURITIZEIRO,18
4302709,BUTIA,18
2503001,CAAPORA,25
5002407,CAARAPO,38
2503209,CABEDELO,111
2602902,CABO DE SANTO AGOSTINHO,40
3109501,CABO VERDE,7
2603009,CABROBO,14
3508504,CACAPAVA,81
4302808,CACAPAVA DO SUL,47
1100601,CACAULANDIA,4
5102504,CACERES,72
2904902,CACHOEIRA,6
5204102,CACHOEIRA ALTA,23
3102704,CACHOEIRA DE PAJEU,17
1501956,CACHOEIRA DO PIRIA,9
4303004,CACHOEIRA DO SUL,58
2503308,CACHOEIRA DOS INDIOS,9
3508603,CACHOEIRA PAULISTA,36
4303103,CACHOEIRINHA,20
3201209,CACHOEIRO DE ITAPEMIRIM,26
2701209,CACIMBINHAS,6
1100049,CACOAL,113
2905107,CAEM,2
3109907,CAETANOPOLIS,36
3110004,CAETE,39
2603207,CAETES,15
2905206,CAETITE,15
5204409,CAIAPONIA,13
4303301,CAIBATE,3
4203105,CAIBI,7
2401909,CAICARA DO RIO DO VENTO,5
2402006,CAICO,9
3509254,CAJATI,191
2503704,CAJAZEIRAS,30
2603306,CALCADO,2
1600204,CALCOENE,2
3110301,CALDAS,22
2503803,CALDAS BRANDAO,9
2905503,CALDEIRAO GRANDE,4
4103503,CALIFORNIA,12
2603405,CALUMBI,3
2905602,CAMACAN,12
2905800,CAMAMU,1
3110509,CAMANDUCAIA,60
5002605,CAMAPUA,8
4303509,CAMAQUA,31
4103602,CAMBARA,25
4103701,CAMBE,66
4103800,CAMBIRA,12
4203204,CAMBORIU,4
3110608,CAMBUI,78
3110806,CAMPANARIO,11
3110905,CAMPANHA,37
4303673,CAMPESTRE DA SERRA,9
2102556,CAMPESTRE DO MARANHAO,6
2504009,CAMPINA GRANDE,184
4104006,CAMPINA GRANDE DO SUL,212
5204706,CAMPINORTE,27
4203303,CAMPO ALEGRE,6
5204805,CAMPO ALEGRE DE GOIAS,44
4104055,CAMPO BONITO,2
4104105,CAMPO DO TENENTE,16
3111408,CAMPO FLORIDO,20
5002704,CAMPO GRANDE,310
2202133,CAMPO GRANDE DO PIAUI,5
4104204,CAMPO LARGO,120
2202208,CAMPO MAIOR,47
4104303,CAMPO MOURAO,38
4304002,CAMPO NOVO,10
2402105,CAMPO REDONDO,4
5102678,CAMPO VERDE,27
3111507,CAMPOS ALTOS,39
5102686,CAMPOS DE JULIO,13
3301009,CAMPOS DOS GOYTACAZES,313
4203600,CAMPOS NOVOS,61
3509809,CAMPOS NOVOS PAULISTA,4
5102694,CANABRAVA DO NORTE,1
2701605,CANAPI,14
3111804,CANAPOLIS,15
5102702,CANARANA,11
3509957,CANAS,20
2906402,CANDEAL,3
3112000,CANDEIAS,73
1100809,CANDEIAS DO JAMARI,45
2906709,CANDIDO SALES,23
4304358,CANDIOTA,3
4104428,CANDOI,53
2402204,CANGUARETAMA,19
4304507,CANGUCU,37
2302800,CANINDE,22
4304606,CANOAS,220
4203808,CANOINHAS,51
1400175,CANTA,27
4104451,CANTAGALO,16
2906824,CANUDOS,9
1300904,CANUTAMA,7
4104501,CAPANEMA,48
4203253,CAPAO ALTO,26
4304622,CAPAO BONITO DO SUL,1
4304663,CAPAO DO LEAO,55
2801306,CAPELA,13
2504033,CAPIM,1
3112505,CAPIM BRANCO,6
2906873,CAPIM GROSSO,27
2102754,CAPINZAL DO NORTE,12
2202406,CAPITAO DE CAMPOS,6
4104600,CAPITAO LEONIDAS MARQUES,22
4203956,CAPIVARI DE BAIXO,52
1200179,CAPIXABA,5
1400209,CARACARAI,10
5002803,CARACOL,3
3113008,CARAI,13
3113206,CARANDAI,39
3300936,CARAPEBUS,13
3113404,CARATINGA,118
2202539,CARAUBAS DO PIAUI,1
2906907,CARAVELAS,27
4304705,CARAZINHO,52
3301157,CARDOSO MOREIRA,14
3113602,CAREACU,35
1301159,CAREIRO DA VARZEA,5
3201308,CARIACICA,204
2303006,CARIDADE,24
2801405,CARIRA,14
1703867,CARIRI DO TOCANTINS,20
4304804,CARLOS BARBOSA,21
3301207,CARMO,3
3113909,CARMO DA CACHOEIRA,53
2801504,CARMOPOLIS,11
3114501,CARMOPOLIS DE MINAS,52
2102804,CAROLINA,2
2604007,CARPINA,8
2604106,CARUARU,185
3114808,CARVALHOS,3
2907202,CASA NOVA,3
4104808,CASCAVEL,335
4304952,CASEIROS,13
3301306,CASIMIRO DE ABREU,64
5002902,CASSILANDIA,7
1502400,CASTANHAL,78
5205059,CASTELANDIA,1
3511003,CASTILHO,1
5205109,CATALAO,94
4204004,CATANDUVAS,28
2504207,CATINGUEIRA,7
2907400,CATOLANDIA,1
2907509,CATU,41
3115458,CATUJI,17
2303709,CAUCAIA,160
3115508,CAXAMBU,6
2103000,CAXIAS,55
4305108,CAXIAS DO SUL,173
2402600,CEARA-MIRIM,57
2801603,CEDRO DE SAO JOAO,12
3115805,CENTRALINA,29
1100056,CEREJEIRAS,18
4305124,CERRITO,5
4305207,CERRO LARGO,5
4105300,CEU AZUL,49
5205455,CEZARINA,17
2604502,CHA GRANDE,1
5002951,CHAPADAO DO SUL,3
4204202,CHAPECO,98
4105409,CHOPINZINHO,14
2303956,CHOROZINHO,30
2907707,CHORROCHO,6
1100924,CHUPINGUAIA,2
4105508,CIANORTE,1
2907806,CICERO DANTAS,9
2103257,CIDELANDIA,4
2907905,CIPO,7
4305504,CIRIACO,3
3116506,CLARO DOS POCOES,17
5103056,CLAUDIA,14
2202703,COCAL,5
2202711,COCAL DE TELHA,9
5205513,COCALZINHO DE GOIAS,56
2103307,CODO,13
3201506,COLATINA,82
4305587,COLINAS,3
1705508,COLINAS DO TOCANTINS,24
4105805,COLOMBO,118
2202752,COLONIA DO GURGUEIA,6
2702108,COLONIA LEOPOLDINA,1
4305603,COLORADO,2
1100064,COLORADO DO OESTE,38
3116902,COMENDADOR GOMES,21
3300951,COMENDADOR LEVY GASPARIAN,22
5103304,COMODORO,31
3201605,CONCEICAO DA BARRA,51
2908200,CONCEICAO DA FEIRA,14
3117306,CONCEICAO DAS ALAGOAS,5
3301405,CONCEICAO DE MACABU,3
2908309,CONCEICAO DO ALMEIDA,20
3201704,CONCEICAO DO CASTELO,7
2908507,CONCEICAO DO JACUIPE,41
4204301,CONCORDIA,28
2604601,CONDADO,9
2908606,CONDE,30
4305702,CONDOR,2
5103353,CONFRESA,4
3117900,CONGONHAL,19
3118007,CONGONHAS,96
,CONQUISTA DOESTE,15
3118304,CONSELHEIRO LAFAIETE,88
4106100,CONSELHEIRO MAIRINCK,9
3118601,CONTAGEM,313
4106209,CONTENDA,17
